seq_len,sequential_scan_torch,sequential_scan_triton,associative_scan_triton
32.000000,0.705536,0.011264,0.018432
64.000000,1.741312,0.016384,0.033792
128.000000,3.782144,0.025600,0.058368
256.000000,7.821312,0.040960,0.100352
512.000000,15.943168,0.071680,0.174080
1024.000000,31.963137,0.131072,0.327680
2048.000000,64.023552,0.251904,0.631808
4096.000000,129.461243,0.491520,1.247232
8192.000000,258.079742,0.985088,2.480640
16384.000000,518.903809,1.979904,4.949504
32768.000000,1031.018555,3.879936,9.933824
65536.000000,2062.619629,9.082880,19.853313
131072.000000,5221.571777,19.829248,39.917057
